 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 8.72415244579315E-0001 -4.15031071972591E-0003  1.24519932603732E+0003 -4.15031071972591E-0003  1.24519932603732E+0003 -4.15031071972591E-0003  1.24519932603732E+0003
 1.00663304328918E+0000 -4.18112912500829E-0003  1.52764583798458E+0003 -4.18112912500829E-0003  1.52764583798458E+0003 -4.18112912500829E-0003  1.52764583798458E+0003
 1.20795965194702E+0000 -5.50339242974476E-0003  1.38708077746735E+0003 -5.50339242974476E-0003  1.38708077746735E+0003 -5.50339242974476E-0003  1.38708077746735E+0003
 1.47639501094818E+0000 -4.80957035979976E-0003  1.52728878427406E+0003 -4.80957035979976E-0003  1.52728878427406E+0003 -4.80957035979976E-0003  1.52728878427406E+0003
 1.74483048915863E+0000 -5.54469153845064E-0003  3.03947958887018E+0003 -5.54469153845064E-0003  3.03947958887018E+0003 -5.54469153845064E-0003  3.03947958887018E+0003
 2.01326608657837E+0000 -4.84556923350674E-0003  2.78951971486074E+0003 -4.84556923350674E-0003  2.78951971486074E+0003 -4.84556923350674E-0003  2.78951971486074E+0003
 2.41591930389404E+0000 -5.08265326639713E-0003  1.52290344685525E+0003 -5.08265326639713E-0003  1.52290344685525E+0003 -5.08265326639713E-0003  1.52290344685525E+0003
 2.95279002189636E+0000 -5.75986063386668E-0003  1.85647581863112E+0003 -5.75986063386668E-0003  1.85647581863112E+0003 -5.75986063386668E-0003  1.85647581863112E+0003
 3.48966097831726E+0000  6.64173169416725E-0004  2.21639890371030E+0003  6.64173169416725E-0004  2.21639890371030E+0003  6.64173169416725E-0004  2.21639890371030E+0003
 4.02653217315674E+0000  1.54465161626605E-0002  7.08196466081815E+0002  1.54465161626605E-0002  7.08196466081815E+0002  1.54465161626605E-0002  7.08196466081815E+0002
 4.83183860778809E+0000  2.69324607608524E-0003  6.19155505341853E+0003  2.69324607608524E-0003  6.19155505341853E+0003  2.69324607608524E-0003  6.19155505341853E+0003
 5.90558052062988E+0000 -5.17530925241295E-0003  2.75908973343847E+0003 -5.17530925241295E-0003  2.75908973343847E+0003 -5.17530925241295E-0003  2.75908973343847E+0003
 6.97932195663452E+0000 -5.04513066908172E-0003  2.17408804035172E+0003 -5.04513066908172E-0003  2.17408804035172E+0003 -5.04513066908172E-0003  2.17408804035172E+0003
 8.05306434631348E+0000  1.07255984143761E-0002  1.37331450695701E+0003  1.07255984143761E-0002  1.37331450695701E+0003  1.07255984143761E-0002  1.37331450695701E+0003
 9.66367721557617E+0000 -2.46501039166052E-0003  3.00276875419944E+0003 -2.46501039166052E-0003  3.00276875419944E+0003 -2.46501039166052E-0003  3.00276875419944E+0003
 1.18111610412597E+0001  3.55898425423482E-0003  2.79242445075737E+0003  3.55898425423482E-0003  2.79242445075737E+0003  3.55898425423482E-0003  2.79242445075737E+0003
 1.39586439132690E+0001 -3.22673489195787E-0003  2.89712689345340E+0003 -3.22673489195787E-0003  2.89712689345340E+0003 -3.22673489195787E-0003  2.89712689345340E+0003
 1.61061286926270E+0001  4.26952573615643E-0003  2.73350433808701E+0003  4.26952573615643E-0003  2.73350433808701E+0003  4.26952573615643E-0003  2.73350433808701E+0003
 1.93273544311523E+0001  3.27143055371735E-0004  8.75986129942321E+0003  3.27143055371735E-0004  8.75986129942321E+0003  3.27143055371735E-0004  8.75986129942321E+0003
 2.36223220825195E+0001  6.15658134429501E-0005  8.35280659652551E+0003  6.15658134429501E-0005  8.35280659652551E+0003  6.15658134429501E-0005  8.35280659652551E+0003
 2.79172878265381E+0001  1.46065829623750E-0004  1.01178391199732E+0004  1.46065829623750E-0004  1.01178391199732E+0004  1.46065829623750E-0004  1.01178391199732E+0004
 3.22122573852539E+0001 -3.69229401817408E-0004  1.44172168987740E+0004 -3.69229401817408E-0004  1.44172168987740E+0004 -3.69229401817408E-0004  1.44172168987740E+0004
 3.86547088623047E+0001  6.93954003986111E-0006  1.20115375190559E+0004  6.93954003986111E-0006  1.20115375190559E+0004  6.93954003986111E-0006  1.20115375190559E+0004
 4.72446441650391E+0001 -1.35637559905427E-0005  7.82269681489414E+0003 -1.35637559905427E-0005  7.82269681489414E+0003 -1.35637559905427E-0005  7.82269681489414E+0003
 5.58345756530762E+0001 -4.85571369346475E-0005  6.10989320059012E+0003 -4.85571369346475E-0005  6.10989320059012E+0003 -4.85571369346475E-0005  6.10989320059012E+0003
 6.44245147705078E+0001 -4.91782827857770E-0005  6.49622673691210E+0003 -4.91782827857770E-0005  6.49622673691210E+0003 -4.91782827857770E-0005  6.49622673691210E+0003
 7.73094177246094E+0001 -3.78190564136578E-0005  6.51203356977732E+0003 -3.78190564136578E-0005  6.51203356977732E+0003 -3.78190564136578E-0005  6.51203356977732E+0003
 9.44892883300781E+0001 -2.77716592578428E-0005  6.65546536985528E+0003 -2.77716592578428E-0005  6.65546536985528E+0003 -2.77716592578428E-0005  6.65546536985528E+0003
 1.11669151306152E+0002 -4.63759973724220E-0005  6.67159792758382E+0003 -4.63759973724220E-0005  6.67159792758382E+0003 -4.63759973724220E-0005  6.67159792758382E+0003
 1.28849029541016E+0002  1.04839250461176E-0004  6.20577513378519E+0003  1.04839250461176E-0004  6.20577513378519E+0003  1.04839250461176E-0004  6.20577513378519E+0003
 1.54618835449219E+0002  4.06112075265947E-0004  5.25965845819459E+0003  4.06112075265947E-0004  5.25965845819459E+0003  4.06112075265947E-0004  5.25965845819459E+0003
 1.88978576660156E+0002 -6.10124581431250E-0005  5.94540076299602E+0003 -6.10124581431250E-0005  5.94540076299602E+0003 -6.10124581431250E-0005  5.94540076299602E+0003
 2.23338302612305E+0002 -1.46760080718133E-0004  5.14572992438230E+0003 -1.46760080718133E-0004  5.14572992438230E+0003 -1.46760080718133E-0004  5.14572992438230E+0003
 2.57698059082031E+0002 -3.38157134053362E-0004  3.65353020892624E+0003 -3.38157134053362E-0004  3.65353020892624E+0003 -3.38157134053362E-0004  3.65353020892624E+0003
 3.09237670898438E+0002  1.13196647182894E-0004  3.65931883082855E+0003  1.13196647182894E-0004  3.65931883082855E+0003  1.13196647182894E-0004  3.65931883082855E+0003
 3.77957153320313E+0002 -3.30327956253026E-0004  2.88326561189323E+0003 -3.30327956253026E-0004  2.88326561189323E+0003 -3.30327956253026E-0004  2.88326561189323E+0003
 4.46676605224609E+0002  5.44698624754326E-0005  2.41326140865017E+0003  5.44698624754326E-0005  2.41326140865017E+0003  5.44698624754326E-0005  2.41326140865017E+0003
 5.15396118164063E+0002 -4.58455417066406E-0004  2.43062649391010E+0003 -4.58455417066406E-0004  2.43062649391010E+0003 -4.58455417066406E-0004  2.43062649391010E+0003
 6.18475341796875E+0002 -2.94321754086552E-0004  2.11847088267986E+0003 -2.94321754086552E-0004  2.11847088267986E+0003 -2.94321754086552E-0004  2.11847088267986E+0003
 7.55914306640625E+0002 -1.89839546004914E-0004  1.77624170465982E+0003 -1.89839546004914E-0004  1.77624170465982E+0003 -1.89839546004914E-0004  1.77624170465982E+0003
