 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 8.05306434631348E+0000  1.17592292643344E+0000  2.07844631508590E+0001  1.17592292643344E+0000  2.07844631508590E+0001  1.17592292643344E+0000  2.07844631508590E+0001
 9.66367721557617E+0000  2.16333091600893E-0001  9.81876209473449E+0000  2.16333091600893E-0001  9.81876209473449E+0000  2.16333091600893E-0001  9.81876209473449E+0000
 1.18111610412597E+0001  6.10456252761462E-0001  1.39595184790319E+0001  6.10456252761462E-0001  1.39595184790319E+0001  6.10456252761462E-0001  1.39595184790319E+0001
 1.39586439132690E+0001  7.14452470221025E-0002  9.90523862201625E+0000  7.14452470221025E-0002  9.90523862201625E+0000  7.14452470221025E-0002  9.90523862201625E+0000
 1.61061286926270E+0001  6.13379171234421E-0001  1.52410881800762E+0001  6.13379171234421E-0001  1.52410881800762E+0001  6.13379171234421E-0001  1.52410881800762E+0001
 1.93273544311523E+0001  3.04911271685017E-0001  1.23310987890048E+0001  3.04911271685017E-0001  1.23310987890048E+0001  3.04911271685017E-0001  1.23310987890048E+0001
 2.36223220825195E+0001  2.65291542979560E-0001  1.30265322186557E+0001  2.65291542979560E-0001  1.30265322186557E+0001  2.65291542979560E-0001  1.30265322186557E+0001
 2.79172878265381E+0001  2.40286862491548E-0001  1.32578364005468E+0001  2.40286862491548E-0001  1.32578364005468E+0001  2.40286862491548E-0001  1.32578364005468E+0001
 3.22122573852539E+0001  2.16065846875143E-0001  1.38661412229454E+0001  2.16065846875143E-0001  1.38661412229454E+0001  2.16065846875143E-0001  1.38661412229454E+0001
 3.86547088623047E+0001  2.02351644643934E-0001  1.46561001605180E+0001  2.02351644643934E-0001  1.46561001605180E+0001  2.02351644643934E-0001  1.46561001605180E+0001
 4.72446441650391E+0001  1.81219283639720E-0001  1.56331909609399E+0001  1.81219283639720E-0001  1.56331909609399E+0001  1.81219283639720E-0001  1.56331909609399E+0001
 5.58345756530762E+0001  1.65053018182434E-0001  1.65393702534832E+0001  1.65053018182434E-0001  1.65393702534832E+0001  1.65053018182434E-0001  1.65393702534832E+0001
 6.44245147705078E+0001  1.49399189350294E-0001  1.73880706712617E+0001  1.49399189350294E-0001  1.73880706712617E+0001  1.49399189350294E-0001  1.73880706712617E+0001
 7.73094177246094E+0001  1.28735216440841E-0001  1.85555560870731E+0001  1.28735216440841E-0001  1.85555560870731E+0001  1.28735216440841E-0001  1.85555560870731E+0001
 9.44892883300781E+0001  1.09988594139322E-0001  2.03975009840539E+0001  1.09988594139322E-0001  2.03975009840539E+0001  1.09988594139322E-0001  2.03975009840539E+0001
 1.11669151306152E+0002  9.92317349527322E-0002  2.28237279691507E+0001  9.92317349527322E-0002  2.28237279691507E+0001  9.92317349527322E-0002  2.28237279691507E+0001
 1.28849029541016E+0002  1.01995403576664E-0001  2.61267550743578E+0001  1.01995403576664E-0001  2.61267550743578E+0001  1.01995403576664E-0001  2.61267550743578E+0001
 1.54618835449219E+0002  1.00810614916919E-0001  3.15525729630342E+0001  1.00810614916919E-0001  3.15525729630342E+0001  1.00810614916919E-0001  3.15525729630342E+0001
 1.88978576660156E+0002  4.85891389629653E-0002  3.70367927803044E+0001  4.85891389629653E-0002  3.70367927803044E+0001  4.85891389629653E-0002  3.70367927803044E+0001
 2.23338302612305E+0002  3.48177974294719E-0002  4.49079154478063E+0001  3.48177974294719E-0002  4.49079154478063E+0001  3.48177974294719E-0002  4.49079154478063E+0001
 2.57698059082031E+0002  3.06613359295148E-0002  5.64925205783123E+0001  3.06613359295148E-0002  5.64925205783123E+0001  3.06613359295148E-0002  5.64925205783123E+0001
 3.09237670898438E+0002  4.30979550925022E-0002  7.50595769725125E+0001  4.30979550925022E-0002  7.50595769725125E+0001  4.30979550925022E-0002  7.50595769725125E+0001
 3.77957153320313E+0002  1.40929297974772E-0002  7.43378478766517E+0001  1.40929297974772E-0002  7.43378478766517E+0001  1.40929297974772E-0002  7.43378478766517E+0001
 4.46676605224609E+0002  3.33192785553490E-0002  6.98152002517479E+0001  3.33192785553490E-0002  6.98152002517479E+0001  3.33192785553490E-0002  6.98152002517479E+0001
 5.15396118164063E+0002  3.23859698524050E-0003  7.33514000105034E+0001  3.23859698524050E-0003  7.33514000105034E+0001  3.23859698524050E-0003  7.33514000105034E+0001
 6.18475341796875E+0002  1.17520149840542E-0002  7.51748171720159E+0001  1.17520149840542E-0002  7.51748171720159E+0001  1.17520149840542E-0002  7.51748171720159E+0001
 7.55914306640625E+0002  1.06603255400164E-0002  6.88054729678677E+0001  1.06603255400164E-0002  6.88054729678677E+0001  1.06603255400164E-0002  6.88054729678677E+0001
